url_dossier_associe,uid_loi,date_scrutin,resume_legislatif_associe,texte_loi,texte_loi_JO,nom_loi
https://www.assemblee-nationale.fr/15/dossiers/.asp,438,03/04/2018,la demande de constitution de commission spéciale pour l'examen de la proposition de loi portant suppression de la prise en compte des revenus du conjoint dans la base de calcul de l'allocation aux adultes handicapés. [dossier] [analyse du scrutin],NA,NA,
https://www.assemblee-nationale.fr/15/dossiers/.asp,1727,13/03/2019,l'article premier du projet de loi relatif à la croissance et la transformation des entreprises (nouvelle lecture). [dossier] [analyse du scrutin],NA,NA,
https://www.assemblee-nationale.fr/15/dossiers/acces_eau_droit_inalienable.asp,382,01/02/2018,"la motion de rejet préalable, déposée par M. Richard Ferrand, de la proposition de loi constitutionnelle visant à faire de l'accès à l'eau un droit inaliénable (première lecture). [dossier] [analyse du scrutin]",https://www.assemblee-nationale.fr/15/propositions/pion0498.asp,NA,acces eau droit inalienable
https://www.assemblee-nationale.fr/15/dossiers/accord_cooperation_ue_nouvelle-zelande.asp,1004,05/07/2018,"la motion de rejet préalable, déposée par M. André Chassaigne, du projet de loi autorisant la ratification de l'accord de partenariat sur les relations et la coopération entre l'Union européenne et ses États membres d'une part, et la Nouvelle-Zélande, d'autre part (première lecture). [dossier] [analyse du scrutin]",https://www.assemblee-nationale.fr/15/projets/pl0615.asp,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=EAEJ1733574L,accord cooperation ue nouvelle zelande
https://www.assemblee-nationale.fr/15/dossiers/accord_cooperation_ue_nouvelle-zelande.asp,1005,05/07/2018,"l'article unique du projet de loi autorisant la ratification de l'accord de partenariat sur les relations et la coopération entre l'Union européenne et ses États membres d'une part, et la Nouvelle-Zélande, d'autre part (première lecture). [dossier] [analyse du scrutin]",https://www.assemblee-nationale.fr/15/projets/pl0615.asp,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=EAEJ1733574L,accord cooperation ue nouvelle zelande
https://www.assemblee-nationale.fr/15/dossiers/accord_partenariat_ue_kazakhstan.asp,349,18/12/2017,"l'article unique du projet de loi autorisant la ratification de l'accord de partenariat et de coopération renforcé entre l'Union européenne et ses États membres, d'une part, et la République du Kazakhstan, d'autre part (première lecture). [dossier] [analyse du scrutin]",https://www.assemblee-nationale.fr/15/projets/pl0152.asp,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=EAEJ1715660L,accord partenariat ue kazakhstan
https://www.assemblee-nationale.fr/15/dossiers/adaptation_droit_ue_securite.asp,379,31/01/2018,l'amendement n° 1 de M. Cordier et les amendements identiques suivants à l'article 17 du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne dans le domaine de la sécurité (première lecture). [dossier] [analyse du scrutin],https://www.assemblee-nationale.fr/15/projets/pl0530.asp,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTX1728622L,adaptation droit ue securite
https://www.assemblee-nationale.fr/15/dossiers/adaptation_droit_ue_securite.asp,378,31/01/2018,l'amendement n° 6 de M. Cordier et les amendements identiques suivants à l'article 16 du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne dans le domaine de la sécurité (première lecture). [dossier] [analyse du scrutin],https://www.assemblee-nationale.fr/15/projets/pl0530.asp,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTX1728622L,adaptation droit ue securite
https://www.assemblee-nationale.fr/15/dossiers/agenda_commercial_europeen_partenariat_ue-japon.asp,1707,18/02/2019,la proposition de résolution sur l'agenda commercial européen et l'Accord de partenariat économique entre l'Union européenne et le Japon (art. 34-1 de la Constitution). [dossier] [analyse du scrutin],https://www.assemblee-nationale.fr/15/propositions/pion1619.asp,NA,agenda commercial europeen partenariat ue japon
https://www.assemblee-nationale.fr/15/dossiers/allegement_charges_agriculture.asp,143,12/10/2017,"la motion de rejet préalable, déposée par M. Richard Ferrand, de la proposition de loi visant à restaurer la compétitivité de l'agriculture française et sa place centrale dans l'aménagement du territoire par l'allègement des charges administratives et fiscales indues et l'équité des conditions de la concurrence (première lecture). [dossier] [analyse du scrutin]",https://www.assemblee-nationale.fr/15/propositions/pion0150.asp,NA,allegement charges agriculture
https://www.assemblee-nationale.fr/15/dossiers/amelioration_prestation_compensation_handicap.asp,624,17/05/2018,l'amendement n° 5 de Mme Firmin Le Bodo après l'article 2 de la proposition de loi relative à l'amélioration de la prestation de compensation du handicap (première lecture). [dossier] [analyse du scrutin],https://www.assemblee-nationale.fr/15/propositions/pion0559.asp,NA,amelioration prestation compensation handicap
https://www.assemblee-nationale.fr/15/dossiers/aspirations_peuple_coeur_debats_budgetaires.asp,973,18/06/2018,la proposition de résolution visant à mettre le peuple et ses aspirations au coeur des débats budgétaires (art. 34-1 de la Constitution). [dossier] [analyse du scrutin],https://www.assemblee-nationale.fr/15/propositions/pion1032.asp,NA,aspirations peuple coeur debats budgetaires
https://www.assemblee-nationale.fr/15/dossiers/augmentation_pouvoir_achat_ticket-carburant.asp,440,05/04/2018,"la motion de rejet préalable, déposée par M. Richard Ferrand, de la proposition de loi visant à augmenter le pouvoir d'achat grâce à la création d'un ticket-carburant (première lecture). [dossier] [analyse du scrutin]",https://www.assemblee-nationale.fr/15/propositions/pion0706.asp,NA,augmentation pouvoir achat ticket carburant
https://www.assemblee-nationale.fr/15/dossiers/augmentation_smic_tpe_pme.asp,1717,07/03/2019,"la motion de rejet préalable, déposée par M. Gilles Le Gendre, de la proposition de loi visant à augmenter le salaire minimum interprofessionnel de croissance et les salaires en accompagnant les très petites entreprises et les petites et moyennes entreprises (première lecture). [dossier] [analyse du scrutin]",https://www.assemblee-nationale.fr/15/propositions/pion1610.asp,NA,augmentation smic tpe pme
