groupe,k,noeud_max,nombre_noeud,edge_max,nombre_edge,groupe_max,nombre_groupe,indice_noeud,indice_lien,indice_groupe,indice_totale,indice_moyen
LR,0,117,117,6786,6666,58,1,1,0.982316534040672,1,0.982316534040672,0.994105511346891
LR,0.01,117,117,6786,6666,58,1,1,0.982316534040672,1,0.982316534040672,0.994105511346891
LR,0.02,117,117,6786,6666,58,1,1,0.982316534040672,1,0.982316534040672,0.994105511346891
LR,0.03,117,117,6786,6666,58,1,1,0.982316534040672,1,0.982316534040672,0.994105511346891
LR,0.04,117,117,6786,6660,58,1,1,0.981432360742706,1,0.981432360742706,0.993810786914235
LR,0.05,117,117,6786,6615,58,1,1,0.974801061007958,1,0.974801061007958,0.991600353669319
LR,0.06,117,117,6786,6531,58,1,1,0.962422634836428,1,0.962422634836428,0.987474211612143
LR,0.07,117,117,6786,6393,58,1,1,0.942086648983201,1,0.942086648983201,0.980695549661067
LR,0.08,117,117,6786,6196,58,1,1,0.913056292366637,1,0.913056292366637,0.971018764122212
LR,0.09,117,117,6786,5991,58,1,1,0.882847038019452,1,0.882847038019452,0.960949012673151
LR,0.1,117,117,6786,5821,58,1,1,0.857795461243737,1,0.857795461243737,0.952598487081246
LR,0.11,117,117,6786,5703,58,2,1,0.840406719717065,0.96551724137931,0.811427177657856,0.935307987032125
LR,0.12,117,117,6786,5600,58,2,1,0.825228411435308,0.96551724137931,0.796772259316849,0.930248550938206
LR,0.13,117,117,6786,5510,58,2,1,0.811965811965812,0.96551724137931,0.783966990863543,0.925827684448374
LR,0.14,117,117,6786,5407,58,2,1,0.796787503684055,0.96551724137931,0.769312072522536,0.920768248354455
LR,0.15,117,117,6786,5331,58,2,1,0.785587975243148,0.96551724137931,0.758498734717522,0.917035072207486
LR,0.16,117,117,6786,5241,58,2,1,0.772325375773652,0.96551724137931,0.745693466264215,0.912614205717654
LR,0.17,117,117,6786,5150,58,2,1,0.758915414087828,0.96551724137931,0.732745917050317,0.908144218489046
LR,0.18,117,117,6786,5042,58,2,1,0.743000294724433,0.96551724137931,0.717379594906349,0.902839178701248
LR,0.19,117,117,6786,4931,58,2,1,0.726643088712054,0.96551724137931,0.701586430480604,0.897386776697122
