from,to,vote_commun,loi_commun
Reiss   Frédéric,Vigier   Philippe,1,1
Reiss   Frédéric,Touraine   Jean-Louis,0,1
Reiss   Frédéric,Karamanli   Marietta,1,1
Reiss   Frédéric,Brindeau   Pascal,1,1
Reiss   Frédéric,Potier   Dominique,1,1
Reiss   Frédéric,Aubert   Julien,1,1
Reiss   Frédéric,Questel   Bruno,0,1
Reiss   Frédéric,Dufrègne   Jean-Paul,1,1
Reiss   Frédéric,Bagarry   Delphine,0,1
Reiss   Frédéric,Perea   Alain,0,1
Reiss   Frédéric,Cordier   Pierre,1,1
Reiss   Frédéric,Dharréville   Pierre,1,1
Reiss   Frédéric,Laqhila   Mohamed,0,1
Reiss   Frédéric,Khattabi   Fadila,0,1
Reiss   Frédéric,Kerlogot   Yannick,0,1
Reiss   Frédéric,Vignon   Corinne,0,1
Reiss   Frédéric,Tanguy   Liliana,0,1
Reiss   Frédéric,Fabre   Catherine,0,1
Reiss   Frédéric,Poulliat   Éric,0,1
Reiss   Frédéric,Eliaou   Jean-François,0,1
Reiss   Frédéric,Chalas   Émilie,0,1
Reiss   Frédéric,Motin   Cendra,0,1
Reiss   Frédéric,Brulebois   Danielle,0,1
Reiss   Frédéric,Kamowski   Catherine,0,1
Reiss   Frédéric,Dubré-Chirat   Nicole,0,1
Reiss   Frédéric,Grandjean   Carole,0,1
Reiss   Frédéric,Sorre   Bertrand,0,1
Reiss   Frédéric,Krimi   Sonia,0,1
Reiss   Frédéric,Girardin   Éric,0,1
Reiss   Frédéric,Zannier   Hélène,0,1
Reiss   Frédéric,Hammouche   Brahim,0,1
Reiss   Frédéric,Belhaddad   Belkhir,0,1
Reiss   Frédéric,Bernalicis   Ugo,1,1
Reiss   Frédéric,Minot   Maxime,1,1
Reiss   Frédéric,Mattei   Jean-Paul,0,1
Reiss   Frédéric,Bru   Vincent,0,1
Reiss   Frédéric,Gayte   Laurence,0,1
Reiss   Frédéric,Genetet   Anne,0,1
Reiss   Frédéric,Charrière   Sylvie,0,1
Reiss   Frédéric,Ramadier   Alain,1,1
Reiss   Frédéric,Gouffier-Cha   Guillaume,0,1
Reiss   Frédéric,Schellenberger   Raphaël,1,1
Reiss   Frédéric,Lenne   Marion,0,1
Reiss   Frédéric,Roseren   Xavier,0,1
Reiss   Frédéric,Verdier-Jouclas   Marie-Christine,0,1
Reiss   Frédéric,Terlier   Jean,0,1
Reiss   Frédéric,Guévenoux   Marie,0,1
Reiss   Frédéric,Fiévet   Jean-Marie,0,1
Reiss   Frédéric,Jumel   Sébastien,1,1
Reiss   Frédéric,Rudigoz   Thomas,0,1
Reiss   Frédéric,Rebeyrotte   Rémy,0,1
Vigier   Philippe,Touraine   Jean-Louis,0,1
Vigier   Philippe,Karamanli   Marietta,1,1
Vigier   Philippe,Brindeau   Pascal,1,1
Vigier   Philippe,Potier   Dominique,1,1
Vigier   Philippe,Aubert   Julien,1,1
Vigier   Philippe,Questel   Bruno,0,1
Vigier   Philippe,Dufrègne   Jean-Paul,1,1
Vigier   Philippe,Bagarry   Delphine,0,1
Vigier   Philippe,Perea   Alain,0,1
Vigier   Philippe,Cordier   Pierre,1,1
Vigier   Philippe,Dharréville   Pierre,1,1
Vigier   Philippe,Laqhila   Mohamed,0,1
Vigier   Philippe,Khattabi   Fadila,0,1
Vigier   Philippe,Kerlogot   Yannick,0,1
Vigier   Philippe,Vignon   Corinne,0,1
Vigier   Philippe,Tanguy   Liliana,0,1
Vigier   Philippe,Fabre   Catherine,0,1
Vigier   Philippe,Poulliat   Éric,0,1
Vigier   Philippe,Eliaou   Jean-François,0,1
Vigier   Philippe,Chalas   Émilie,0,1
Vigier   Philippe,Motin   Cendra,0,1
Vigier   Philippe,Brulebois   Danielle,0,1
Vigier   Philippe,Kamowski   Catherine,0,1
Vigier   Philippe,Dubré-Chirat   Nicole,0,1
Vigier   Philippe,Grandjean   Carole,0,1
Vigier   Philippe,Sorre   Bertrand,0,1
Vigier   Philippe,Krimi   Sonia,0,1
Vigier   Philippe,Girardin   Éric,0,1
Vigier   Philippe,Zannier   Hélène,0,1
Vigier   Philippe,Hammouche   Brahim,0,1
Vigier   Philippe,Belhaddad   Belkhir,0,1
Vigier   Philippe,Bernalicis   Ugo,1,1
Vigier   Philippe,Minot   Maxime,1,1
Vigier   Philippe,Mattei   Jean-Paul,0,1
Vigier   Philippe,Bru   Vincent,0,1
Vigier   Philippe,Gayte   Laurence,0,1
Vigier   Philippe,Genetet   Anne,0,1
Vigier   Philippe,Charrière   Sylvie,0,1
Vigier   Philippe,Ramadier   Alain,1,1
Vigier   Philippe,Gouffier-Cha   Guillaume,0,1
Vigier   Philippe,Schellenberger   Raphaël,1,1
Vigier   Philippe,Lenne   Marion,0,1
Vigier   Philippe,Roseren   Xavier,0,1
Vigier   Philippe,Verdier-Jouclas   Marie-Christine,0,1
Vigier   Philippe,Terlier   Jean,0,1
Vigier   Philippe,Guévenoux   Marie,0,1
Vigier   Philippe,Fiévet   Jean-Marie,0,1
Vigier   Philippe,Jumel   Sébastien,1,1
Vigier   Philippe,Rudigoz   Thomas,0,1
Vigier   Philippe,Rebeyrotte   Rémy,0,1
Touraine   Jean-Louis,Karamanli   Marietta,0,1
Touraine   Jean-Louis,Brindeau   Pascal,0,1
Touraine   Jean-Louis,Potier   Dominique,0,1
Touraine   Jean-Louis,Aubert   Julien,0,1
Touraine   Jean-Louis,Questel   Bruno,1,1
Touraine   Jean-Louis,Dufrègne   Jean-Paul,0,1
Touraine   Jean-Louis,Bagarry   Delphine,1,1
Touraine   Jean-Louis,Perea   Alain,1,1
Touraine   Jean-Louis,Cordier   Pierre,0,1
Touraine   Jean-Louis,Dharréville   Pierre,0,1
Touraine   Jean-Louis,Laqhila   Mohamed,1,1
Touraine   Jean-Louis,Khattabi   Fadila,1,1
Touraine   Jean-Louis,Kerlogot   Yannick,1,1
Touraine   Jean-Louis,Vignon   Corinne,1,1
Touraine   Jean-Louis,Tanguy   Liliana,1,1
Touraine   Jean-Louis,Fabre   Catherine,1,1
Touraine   Jean-Louis,Poulliat   Éric,1,1
Touraine   Jean-Louis,Eliaou   Jean-François,1,1
Touraine   Jean-Louis,Chalas   Émilie,1,1
Touraine   Jean-Louis,Motin   Cendra,1,1
Touraine   Jean-Louis,Brulebois   Danielle,1,1
Touraine   Jean-Louis,Kamowski   Catherine,1,1
Touraine   Jean-Louis,Dubré-Chirat   Nicole,1,1
Touraine   Jean-Louis,Grandjean   Carole,1,1
Touraine   Jean-Louis,Sorre   Bertrand,1,1
Touraine   Jean-Louis,Krimi   Sonia,1,1
Touraine   Jean-Louis,Girardin   Éric,1,1
Touraine   Jean-Louis,Zannier   Hélène,1,1
